Job Title,Company,Link,Job_Description,Location,Job_Rec
IT Data Analyst,Client of umind consulting,https://www.indeed.co.in/company/Client-of-umind-consulting/jobs/IT-Data-Analyst-44714e6a0a38d23e?fccid=017611ae900a5ec2&vjs=3,"Supporting MIS for Business, including analysis / generation of reports / creation and channelling dashboards to stake holder with in time lines.Responsible for the design development and deployment of multi dimensional reports using the IBM Cognos Analytics.Responsible for analyzing, fixing and deploying in lower and production environments.Creating, enhancing and maintaining Framework Manager models to support business requirements.Creating Dashboard with data drill down features from top to bottom.Creating Reports using IBM Report Studio with data drill down and slice and dice options.Good Communication Skills Analytical mindset with strong logical reasoning.Job Type: Full-timeSalary: Up to ₹700,000.00 per yearSchedule:Morning shiftExperience:total work: 3 years (Required)Education:Bachelor's (Required)",chennai,data scientist
Python with Machine Learning,Cognizant,https://www.indeed.co.in/rc/clk?jk=a2ad075fcce66a6c&fccid=2df6a1e69a70a1e7&vjs=3,"#LI-CTSINDIA


Exp:2-6 yrs

Designation: PA/A

Work Location: Chennai/Bangalore.


Job Description:


Primary Skillset: Experience in Machine Learning, Python, NLP, Computer Vision including usage of neural networks.


Good to have skills: Object recognition using neural networks, Knowledge of model web deployment frameworks like Flask or Django, Microsoft Azure Machine Learning Services.


The candidate must have good communication skills and should be able to work independently.

Employee Status : Full Time Employee
Shift : Day Job
Travel : No
Job Posting : Oct 12 2020
About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world.",chennai,data scientist
Data Analyst,Barclays,https://www.indeed.co.in/rc/clk?jk=9f9f8fbca87e4d68&fccid=057abf3fd357e717&vjs=3,"Job Title : Data Analyst
Location : Chennai
This role will be responsible for the data analysis, requirement capture, stakeholder management and CCO mailing which includes Retail regulatory, Cards and Servicing campaigns.

What will you be doing?
Support / manage the design and development of process solutions to meet the agreed business requirements including management information requirements and mitigation of risks (via appropriate controls / reconciliations) within the technology / process solutionsLead Data Discovery actions and support the Customer Targeting manager in Data Discovery walkthroughsContribute to Risk Assessments in order to mitigate any risksCreate / Develop Data Dictionaries working with campaign delivery managers to support testing and build of letter though OTX (include testing scenarios &amp; validation)Proficiency and Experience in SAS/SQL is mandatory.Good Unix Knowledge.Experience /Knowledge in Teradata is preferable.HADOOP Experience preferably in Hive, Impala and Spark is required.Help define improvements for the bank in terms of Products &amp; Customer / Colleague experienceAbility to work across different lines of business in Barclays and interact with a spectrum of peopleAbility to map business requirements to tools / technology stacksAbility to work on CIM (Teradata tool) to deliver Servicing communicationsAbility to understand requirements and convert it in the form of technical brief documentProvision of business analysis skillsProduction and review of functional and non-functional specificationsProviding data analysis to support the delivery of the strategy, propositions &amp; plans in order to maximise the function’s knowledge &amp; intelligence.

What we’re looking for :
Strong Knowledge and Hands on Experience in SAS/SQLStrong Knowledge in Data warehousing.Strong Knowledge in Teradata or any Database.Meticulous attention to detail

Skills that will help you in the role
Knowledge and Hands on Experience in HADOOP - HDFS File SystemKnowledge and Hands on experience in Ab InitioKnowledge and Hands on experience in CIM

Where will you be working?
Chennai

Be More at Barclays
At Barclays, each day is about being more – as a professional, and as a person. ‘Be More @ Barclays’ represents our core promise to all current and future employees. It’s the characteristic that we want to be associated with as an employer, and at the heart of every employee experience. We empower our colleagues to Be More Globally Connected, working on international projects that improve the way millions of customers handle their finances. Be More Inspired by working alongside the most talented people in the industry, and delivering imaginative new solutions that are redefining the future of finance. Be More Impactful by having the opportunity to work on cutting-edge projects, and Be More Valued for who you are.
Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details.

Our Values
Everything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it.

Our Diversity
We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals.

Our Benefits
Our customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility, then please discuss this with us.",chennai,data scientist
Jr. Data scientist,Blackstraw,https://www.indeed.co.in/rc/clk?jk=dbb9da9e5ab91462&fccid=9bb4fb523086c0b6&vjs=3,"About the job :

Responsibilities :
Responsibilities include Identify, develop and implement the appropriate statistical
techniques, algorithms and Deep learning / ML Models to create new, scalable solutions that
address business challenges across industry domains.
Define and develop, maintain and evolve data models, tools and capabilities.
Communicate your findings to the appropriate teams through visualisations.
Collaborate and communicate findings to diverse stakeholders.
Provide solutions but not limited to: Object detection/Image recognition, natural language
processing, Sentiment Analysis, Topic Modeling, Concept Extraction, Recommender
Systems, Text Classification, Clustering, Customer Segmentation &amp; Targeting, Propensity
Modelling, Churn Modeling, Lifetime Value Estimation, Forecasting, Modeling Response to
Incentives, Marketing Mix Optimization, Price Optimization.
Qualifications and Experience :
Bachelors Computer Science, Information Systems, Machine Learning, Statistics,
Econometrics, Applied Mathematics, Operations Research or related technical degree with
ability to break complex business problems.
Minimum of 1 to 3 years of experience in a related position, as a data scientist or business
analyst building predictive analytics solutions for various types of business problems.
Knowledge of statistical techniques, machine learning algorithms and deep learning
frameworks like Tensorflow, Theano, Keras, Pytorch.
Minimum 1 years of Programming background and expertise in building models using at
least one of the following languages: Python, R ,Java, C,C++.
Company Profile:

Conceptualized as far back as 2015, and commencing full-time operations in 2018, Blackstraw LLc. is a software products and services company specializing in Artificial Intelligence (AI) and Machine Learning solutions for various industries. We support businesses around the world, including North America, Europe and Asia, working to simplify AI implementation through our platform that expedites data labelling, AI model-training, and, cloud or on-premise deployments.

With more than 100 years of combined work-experience, the 100+-strong Blackstraw Team comprises various experts in the AI value chain. We are a fast-moving team that prides ourselves in rapidly identifying different use-cases and fine-tuning our products to suit specific business needs.

We are focused on providing solutions related to computer vision, natural language processing, Data annotation tool for deep learning models, etc. To stay competitive in business, it is key for organizations to adopt and implement smart AI solutions and service offerings. However, most companies are unable to implement AI rapidly due to the complexity of existing solutions, inadequate data and cost implications.

Our mission is to enable enterprises to adopt AI in an easier, cost-effective and time-efficient manner with a plug-and-play approach to their data.

Blackstraw operations are based out of Mumbai, Pune and Chennai in India.",chennai,data scientist
Data Scientist,Standard Chartered,https://www.indeed.co.in/rc/clk?jk=99610679c4cd5e87&fccid=5249cd8e17163cb5&vjs=3,"Job: Technology
Primary Location: ASEAN &amp; South Asia-India-Chennai
Schedule: Full-time
Employee Status: Permanent
Posting Date: 08/Jun/2020
Unposting Date: Ongoing

About Standard Chartered :-
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.
To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.
We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.

AFD Full stack Java
Data visualisation skills: Power BI / Tableau / Qlikview / Cognos

To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working.

Ø Highly experienced in Java, J2EE, REST, Struts, XML, JSON ,Web services
Ø Solid grasp of Angular or similar frameworks - Angular , HTML/5, XML, JavaScript, Type script, JQuery
Ø Experience in HTML, CSS, JavaScript
Ø Experience with Spring Boot is a plus
Ø Tools: Maven, Ant, Grunt, SystemJS, Eclipse, SVN,
Ø Application Servers: WebLogic, Tomcat, NodeJS
Ø Early Technology Adopter
Ø Strong and accurate analytical and communication skills
Ø Self-motivated and initiative personality with a can do attitude and the ability to learn quickly
Ø Preferable for Banking Client/Projects or Product Based clients/projects

Skills:-
Ø Data modelling Skills: SQL , Python,R and analytics model building using Machine Learning/ Deep Learning - ANN, CNN, LSTM,NLP,GNN
Ø Deep Learning Frameworks : Caffe, Keras, Theano, TensorFlow, or Torch.
Ø Experience working on Big Data technologies (e.g. Hadoop MR, Hive, NoSQL, Spark, Kafka, Graph Databases etc.)
Ø Big Data: Spark , Hive,Hadoop

Apply now to join the Bank for those with big career ambitions.",chennai,data scientist
Data Scientist,BrandIdea Consultancy P Ltd,https://www.indeed.co.in/rc/clk?jk=a048e7b97544047d&fccid=112f03070b197e0e&vjs=3,"Perform data-mining, modeling and hypothesis generation in support of high-level business goals.
Stay current with emerging tools and techniques in machine learning, statistical modeling &amp; analytics.
Strong aptitudes for business, technology, mathematics &amp; statistics.
Need strong oral &amp; written communication skills to present data as a concise story for diverse audiences.
Develop customized algorithms to solve analytical problems with incomplete data sets.
Skills Needed:

R/Python Programming


SQL


Statistical Modeling


Machine Learning Techniques


Knowledge on Software Development is an added advantage",chennai,data scientist
Data Scientist,Inspirisys Solutions,https://www.indeed.co.in/rc/clk?jk=8e04b846566df6cc&fccid=6f86bbf52523eb62&vjs=3,"Requirements / Responsibilities:

Should have 6+ years of experience as Data Scientist
Should have experience in Data Analytics, Big Data, Machine Learning, AI and dashboard creation",chennai,data scientist
Manager - Data Analyst,Cognizant,https://www.indeed.co.in/rc/clk?jk=ded5c55d33c9f231&fccid=2df6a1e69a70a1e7&vjs=3,"Data Management and Analysis. A new associate will immediately immerse in the world of Cognizant’s external and internal survey programs, with daily key tasks related to the management of surveys and creation of analysis decks from their results. The Client Insights team prides itself on generating actionable advice from survey results, so an ability to turn numbers and trends into concise narratives of Best Actions is essential. Offshore associates coordinate closely with the U.S.-based team, and will need to train in the use of our third-party survey and analysis platform.

Associates will spend a majority of their time utilizing a survey and analysis SaaS platform to manage ongoing surveys and work on analyses for closed surveys, as well as working outside the tool building analysis decks. Strong PowerPoint and Excel skills will be beneficial to successful candidates, and an Excel test is administered as a part of the application process to measure current skills and aptitude. An aptitude and interest in learning new skills, platforms and procedures is a mandate.

In addition, successful candidate will be expected to think and act strategically, while having the necessary presentation skills and emotional intelligence to interact with senior resources at Cognizant.

Key Skills:
Analysts often make recommendations about the methods and ways in which a company obtains and analyses data to comes up with meaningful insights Data analysis and management
o Collecting and interpreting data
o Analyzing results
o Identifying patterns and trends in data sets
o Defining new data collection and analysis processes
o Develop predictive and varied analytically derived models.
o Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for predictive analytics efforts.
o Based on data, identify weaknesses, trends, or opportunities for an organization
o Serves as a gatekeeper for an organization’s data so stakeholders can understand data and use it to make strategic business decisions
o Ability to define, review reports and analysis. Reporting /collaboration with stakeholders
o Reporting the results back to the relevant members of the business
o A commitment to creating high-quality content, with a clear focus on analysis that can drive action.
o Present ad hoc reports as well as evaluate in timely manner.
o Collaborate with account teams, and all end users plus external parties to determine viable solutions for identified deliverables.
o Proven organizational skills to facilitate tracking and coordinating survey programs from within the SaaS platform.
o Ensure to translate top level business goals into quantifiable analysis activities.
o Preparing and presenting reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data.
o Creating appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis if necessary.
o Interest in – and familiarity with – data analysis and the ability to ‘slice and dice’ data. Lead role
o Support, coach other analysts in the team
o Identify and recommend analytics opportunities and new modeling.
o Good interpersonal skills and ability to work across time zones – the Client Insights team interacts daily and believes in transparency &amp; communication as keys to successfully executing our mission.
o Identify, analyze, and interpret trends or patterns in complex data sets
o Develops and manages information to support corporate decision-making.
o Manages and improves existing reporting systems.
o Performs complex analyses.
o Conducts and facilitates (and educates and trains on) analyses, issues identification, organizational risk assessment, and decision-making processes.
o Provides consulting and analytical services to leadership.
o Provides technical support, mentoring, and training to less senior analysts.
o Develops methodology and processes for prioritization and scheduling of projects.
o Analyzes problems and determines root causes.

Employee Status : Full Time Employee
Shift : Day Job
Travel : No
Job Posting : Oct 16 2020
About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world.",chennai,data scientist
Data Scientist,Data Analyst,https://www.indeed.co.in/rc/clk?jk=15a2fd0371f453ce&fccid=dd616958bd9ddc12&vjs=3,"Job Summary
Published on : 4 days ago
Vacancy : 2
Employment Status : Full Time
Experience : 6 - 7 Yrs
Salary : Not disclosed
Interview Venue : Chennai
Should have 6+ years of experience as Data Scientist

Should have experience in Data Analytics, Big Data, Machine Learning, AI and dashboard creation
Skills
Qualifications
BE / B.Tech Engineering - Computer Science / IT
Bachelor of Computer Application (BCA)
B.Sc. Computer Science",chennai,data scientist
Lead Data Scientist,Poshmark,https://www.indeed.co.in/rc/clk?jk=ca9653b5b0a79144&fccid=0f4f2d112db7d324&vjs=3,"Are you a Data Scientist who is passionate about using Machine Learning to create and deliver value using data? Poshmark is looking for a Lead Data Scientist who can lead Data Science initiatives. As a market leader in Social Commerce, Poshmark faces a unique opportunity to utilize our massive multi-platform social and commerce data to shape social commerce and create value for our users. With 400+ MM events per day and 30+ terabytes of exponentially growing data, Poshmark presents a unique opportunity to innovate cutting edge data science products. This person will work on all Data Science initiatives across product, marketing, Posh markets, operations and community and help solve some of the most challenging problems in social commerce like pricing, search ranking, product and people recommendation, fraud prevention and many more.

Key responsibilities

Help develop vision, business case, modeling spec and operational project plans for end-to-end ML solution
Lead the development of data science/ML models for high business impact opportunities across all business areas
Work on all stages of a data science / ML project - exploration and conceptualization, POC (proof of concept), data preparation, model development and testing, deployment, monitoring and debugging, continuous improvement
Train, mentor and guide junior data scientists in the team
Partner with product, data engineering and ML engineering teams to ensure seamless productionzation of developed algorithm and management of full model cycle
Develop and follow best practices for developing, managing, maintaining and documenting machine learning models and all related work
Develop a deep understanding of different business functions and core KPI to ensure that the data science solution fits the business need
Lead the development of standard building blocks for usage across multiple ML algorithms

Qualifications and skills

5+ years of hands-on experience in building scalable Machine Learning based solutions in a Big Data environment.
Fluency in all steps of data science solution development cycle from business problem identification to business value delivery
Ability to do insightful data analysis both pre and post ML model development to estimate impact, establish feasibility, understand model performance, validate hypothesis and answer questions from stakeholders
Expert level hands-on / applied knowledge of key machine learning algorithms
Ability to choose a technique based on the problem and the data, ability to debug and reason about why a model may not be working as expected
Expert hands-on knowledge of Python and data science / ML packages
Hands-on knowledge of SQL with the ability to write readable and efficient queries for complex data crunching
Hands-on experience in using Spark (Scala or Pyspark) to process data at large scale
Hands-on experience in using MS Excel to do quick exploratory data analysis using basic functions, pivot tables and charts
Experience partnering with ML engineering teams in deploying ML models to production
Experience in training and mentoring junior data scientists
Strong business / product sense and excellent verbal and written communication skills for a variety of audiences: executive teams, product managers, engineers, and business leaders
Excellent problem solving skills coupled with a passion to solve challenging problems using data science/ML with focus on delivering business value
MS in a relevant quantitative field such as Computer Science, Statistics, Math is a plus

Why Poshmark?

Poshmark is a leading social commerce platform for the next generation of retailers and shoppers. Through technology, our mission is to build the world's most connected shopping experience, while empowering people to build thriving retail businesses. Since launching in 2011, Poshmark has become a vibrant social shopping community with five million Seller Stylists helping 60 million users discover items they love from over 100 million listings. The company is backed by the world's leading investment firms including Mayfield, Menlo Ventures, GGV Capital, Temasek, Inventus Capital, Uncork Capital, Union Grove Venture Partners, Shea Ventures and AngelList. For more information, please visit www.poshmark.com, or find us on Instagram, Facebook, Twitter, Pinterest and YouTube.

About Us:

At Poshmark, we're constantly challenging the status quo and are looking for innovative and passionate people to help shape the future of Poshmark. We're disrupting the industry by combining social connections with e-commerce through data-driven solutions and the latest technology to optimize our platform. We're nothing without our amazing team who deliver an unparalleled social shopping experience to the millions of people we connect each day.

We built Poshmark around four core values:

1) focus on people to create empowered communities that drive success;

2) together we grow to support each other to strive for our dreams;

3) lead with love to foster genuine connections built upon a foundation of respect; and

4) embrace your weirdness to accept and empower one another on their own unique journey.

We're invested in our team and community, working together to build an entirely new way to shop. That way, when we win, we all win together. Come help us build the most connected shopping experience ever.

Here's what we'll set you up with:

A team that is invested in your career growth and development
Competitive salary
Company sponsored insurance
Smartphone reimbursement
Work alongside world-class talent
Flexible vacation / paid time off policy
Parental leave
Healthy and exciting catered lunches, snacks and beverages offered daily
Personal style encouraged (or not, whatever you're in to)
Fun company happy hours, parties, and offsite events

Poshmark is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

Nondisclosure Agreement",chennai,data scientist
