Job Title,Company,Link,Job_Description,Location,Job_Rec
Data Scientist,Core HR Services Pvt. Ltd,https://www.freshersworld.com/jobs/data-scientist-jobs-in-chennai-core-hr-services-pvt-ltd-1012122,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><section class=""show-more-less-html"" data-max-lines=""5""><div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5""><div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5"">Handson knowledge of Python for building production ready data products <br/><br/>Strong Statistical Analysis and Modeling skills Proven skills in Data Science Data Mining Machine Learning covering the spectrum of supervised as well as unsupervised learning algorithms Ability to grasp and work with new technologies quickly Knowledge of Reinforcement Learning is a plus Some knowledge of big data technologies like Hadoop Apache Spark will be an added advantage</div><div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5""><br/></div><div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5"">An analytical approach towards problem solving<br/><br/>Experience with data extraction and management</div><div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5""><br/>Experience with R Python for Data Analysis and Data modeling Ability to set goals and meet deadlines in a fast paced working environment Understanding of ECommerce and Advertising as a domain Willingness to work for a startup Individual Contributor with a sense of Business Acumen and a hunger to make an impact</div></div></section></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/it-software-engineer-jobs-vacancies/1111013""><span class=""get_jobrolename"">IT Software-Engineer</span></a></div><div><strong>Job Category : </strong>IT/Software,Diploma</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview</div><div><strong>Who can apply : </strong>Freshers and Experienced (0 to 3 yrs )</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Analyst/ Data Scientist/ Data Engineer,CAIA- CENTER FOR AI AND ANALYTICS,https://www.freshersworld.com/jobs/data-analyst-data-scientist-data-engineer-jobs-in-bangalore-pune-chennai-caia-center-for-ai-and-analytics-1019122,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><p><b>Greetings from CAIA - Systech Solutions.</b><br/></p><p>We would like to Inform you that your profile has been shortlisted for the position of Data Analyst in our company.<br/></p><p><b>A brief about our organisation Systech - CAIA:</b><br/></p><p> <br/>Systech Solutions is a leading Data Strategy, Management &amp; Analytics services provider with deep technology expertise and over 20 Years of industry experience. Systech Solutions helps empower clients with innovative, data-driven solutions to re imagine their enterprise and has forged partnerships with industry-leading technology providers to develop a full spectrum of data services.<br/></p><p>The role of Data Analyst at Systech Solutions:</p><ul><li>Work with the Data management life-cycle using concepts and tools<br/><li>Data wrangling using Python and data visualization tools<br/><li>Develop data set processes for data modelling and mining and<br/><li>Integrate new data management technologies and software engineering tools into existing structure</li></li></li></li></ul><p><b>Selection Process:</b></p><p>Round 1: Aptitude test (150 mins)<br/></p><p>Round 2: Face to face discussion<br/></p><p>Round 3: Technical test (Python/SQL)<br/></p><p>Round 4:  HR discussion </p></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/it-software-engineer-jobs-vacancies/1111013""><span class=""get_jobrolename"">IT Software-Engineer</span></a></div><div><strong>Job Category : </strong>IT/Software,BSc/BCA/BBM</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Written-test, Telephonic Interview</div><div><strong>Who can apply : </strong>Experienced (3+ yrs)</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Entry,RMS Solutions Inc,https://www.freshersworld.com/jobs/data-entry-jobs-in-bangalore-mumbai-chennai-rms-solutions-inc-1010204,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""> Be prepared for a high emerging career. <div>Start working from home to place online advertisements for selected products and services. </div><div>No management issues. </div><div>Training materials and online support</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Part Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/data-entry-back-office-jobs-vacancies/1111006""><span class=""get_jobrolename"">Data Entry /Back Office</span></a></div><div><strong>Job Category : </strong>Computer Operator</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Analyst,IIBM Institute of Business Management,https://www.freshersworld.com/jobs/data-analyst-jobs-in-bangalore-chennai-hyderabad-iibm-institute-of-business-management-1001937,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""> IIBM institute requires freshers for MNC;s<br/>Candidates will be trained and will be placed after training in MNC's.<br/>Over 25,000 candidates trained since 2008.<br/>Candidates from all over India can apply...................................................................................................................................................................................................................................................................................................................................................... </div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/it-software-engineer-jobs-vacancies/1111013""><span class=""get_jobrolename"">IT Software-Engineer</span></a></div><div><strong>Job Category : </strong>IT/Software,BSc/BCA/BBM,Work from Home</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Telephonic Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Protection,Core HR Services Pvt. Ltd,https://www.freshersworld.com/jobs/data-protection-jobs-in-chennai-core-hr-services-pvt-ltd-1013654,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""> Create policy for data classification as per the guideline Provide recommendations for gaps identified Update Policy to data privacy compliance Assist in the implementation of data leakage prevention tool Monitor loss mitigation system<br/><br/>Skills: data leakage , loss mitigation, Legal Compliance, Compliance, Data Protection, data classification, Hp Data Protector, Data Privacy<br/><br/>Experience: 3.00-4.00 Years<br/></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/others-jobs-vacancies/1111030""><span class=""get_jobrolename"">Others</span></a></div><div><strong>Job Category : </strong>Others</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview</div><div><strong>Who can apply : </strong>Experienced (3 to 3+ yrs)</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Entry,JVKDS ENTERPRICES,https://www.freshersworld.com/jobs/data-entry-jobs-in-chennai-jvkds-enterprices-1017886,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""> 1. needed to enter our client information and report to respective manager,<div>2. data handling of client information,manage the client database,</div><div>3. there is no work from home,</div><div>4. based on your performance your salary will increase </div><div>5.notice period is 30days</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/data-entry-back-office-jobs-vacancies/1111006""><span class=""get_jobrolename"">Data Entry /Back Office</span></a></div><div><strong>Job Category : </strong>Computer Operator</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview, Telephonic Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Online Data Entry,Web solutions,https://www.freshersworld.com/jobs/online-data-entry-jobs-in-bangalore-chennai-noida-web-solutions-1001815,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><ul><li>Part time work at your home Online Home-based job offer, Students, housewives, elders anyone can do it.<li>Data entry manual typing work offer required home pc ,laptop  or smart phone is must Looking for good typists for data entry works Wanted Data Entry operators.<li>Daily  3 to 4 hr maximum 100% genuine for more details contact -</li></li></li></ul></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Part Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/data-entry-back-office-jobs-vacancies/1111006""><span class=""get_jobrolename"">Data Entry /Back Office</span></a></div><div><strong>Job Category : </strong>Part Time,Computer Operator,Work from Home</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Telephonic Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data Entry Operator,MeeGen Solutions,https://www.freshersworld.com/jobs/data-entry-operator-jobs-in-chennai-meegen-solutions-1019381,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><ul><li>Urgently Needed Data Entry Executives in a Leading Online Brand Located in Redhills.<li>Shift: Night Shift<li>Location:Poochi Athipedu Redhills, Tamil Nadu is 600052</li></li></li></ul><br/></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/data-entry-back-office-jobs-vacancies/1111006""><span class=""get_jobrolename"">Data Entry /Back Office</span></a></div><div><strong>Job Category : </strong>Diploma,BSc/BCA/BBM,Computer Operator</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview, Telephonic Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Online Data Entry,Modinity Technologies,https://www.freshersworld.com/jobs/online-data-entry-jobs-in-chennai-coimbatore-madurai-modinity-technologies-1012644,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><ul><li>||JOB OPENING FOR HOME BASED JOB SEEKERS|| Simple typing job from your home and earn amount daily in daily basis. DON'T MISS THIS LIFETIME OPPORTUNITY...<li>HOME BASED ONLINE PART TIME JOB IN Online Simple Typing Job Work from your Android mobile/ Lap / Pc ||<li>Earn Rs.6000-8000/-per month||.Work at flexible timings. <li>Our Support Team is Available for you. <li>There is no limit for doing work.Daily Payments Job Type: Part Timers<li><li>contact number: 7305441839<li>mail id: jobhari24@gmail.com</li></li></li></li></li></li></li></li></ul></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Part Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/data-entry-back-office-jobs-vacancies/1111006""><span class=""get_jobrolename"">Data Entry /Back Office</span></a></div><div><strong>Job Category : </strong>MBA,Diploma,Part Time,BSc/BCA/BBM,Computer Operator,Work from Home</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Telephonic Interview</div><div><strong>Who can apply : </strong>Freshers</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
Data and Analytics,DesiCrew Solutions,https://www.freshersworld.com/jobs/data-and-analytics-jobs-in-chennai-desicrew-solutions-1010020,"<div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div><div class=""shimmer desc_shimmerLines""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div><div class=""shimmer shimmerLines display_block width_30""></div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>, <div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-7""><div class=""col-md-12 col-lg-12 col-xs-12 padding-none"" style=""word-break: break-word;""><section class=""show-more-less-html"" data-max-lines=""5""><br/><br/>This in turn reflects in our quality of work and hence customer satisfaction. Our innate aim is to build an environment of inclusive growth and to encourage participation at all levels. We are growing constantly and are always on the lookout for individuals as inspired and excited by the Impact Sourcing model as we are. By working with us, we guarantee that you will be equipped with the necessary skills that are required to grow and to deal with challenges and responsibilities that come with this growth.<br/><br/>We Leverage<br/><br/>Our regular training &amp; development programs help you understand &amp; develop the most efficient ways to deliver on the customer requirements.<br/><br/><br/>Data/image annotation<br/><br/><br/>Data analytics<br/><br/><br/>Image Editing/tagging<br/><br/><br/>Data Categorisation<br/><br/><br/>Data curation<br/><br/><br/>Data Enrichment<br/><br/>We Leverage<br/><br/>Our regular training &amp; development programs help you understand &amp; develop the most efficient ways to deliver on the customer requirements.<br/><br/>4%<br/><br/>between 18-25 years old<br/><br/>4%<br/><br/>and above first generation knowledge workers<br/><br/>4%<br/><br/>increase in annual household income in rural areas<br/><br/>4%<br/><br/>of our employees would have migrated to cities if not for DC<br/><br/>4%<br/><br/>of our staff are women<br/></section></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none margin-top-20""><p><strong>Job Summary</strong></p><div><strong>Job Type : </strong>Full Time</div><div><strong>Job Role : </strong><a class=""color-333"" href=""/it-software-engineer-jobs-vacancies/1111013""><span class=""get_jobrolename"">IT Software-Engineer</span></a></div><div><strong>Job Category : </strong>IT/Software,Computer Operator</div><div class=""desc-font margin-none""><strong>Hiring Process : </strong> Face to Face Interview</div><div><strong>Who can apply : </strong>Freshers and Experienced (0 to 3 yrs )</div></div><div class=""col-md-12 col-lg-12 col-xs-12 padding-none""></div></div>",chennai,data scientist
